ID	Name	Sex	Original Treatment	Final Treatment	Day Post-Infection	Date	Number of IT-injected mosquitoes that fed	Number of IT-injected mosquitoes that fed and survived to assay	Number of mosquitoes with detectable DENV-2 in collected saliva	Number  IT-injected mosquitoes with saliva positive for DENV-2 after one passage of saliva in C6/36 cells	% IT-injected mosquitoes with saliva positive for DENV-2 after one passage of saliva in C6/36 cells	Estimated titer delivered	Corrected estimated titer delivered (log10)	PRNT50	PRNT80	PRNT90	Viremia (pfu/ml)	Viremia detected after 1 passage?	Viremia deduced	Number of mosquitoes that engorged	Number of mosquitoes that engorged AND survived to titer	Number of mosquitoes with detectable body infection	Number of mosquitoes with detectable leg infection	Number of mosquitoes with positive saliva without amplification	Number of mosquitoes with positive saliva after amplification	% mosquitoes infected (body)	% mosquitoes infected (legs)	% mosquitoes infected (body, legs, or saliva)	Mean titer of infected mosquitoes (bodies)	SE of mean titer of infected mosquitoes (bodies)	Mean titer of infected mosquitoes (legs)	SE of mean titer of infected mosquitoes (legs)	Weight (g)	WBC	LYM	MON	NEU	LYM%	MON%	NEU%	RBC	HGB	HCT	MCH	MCV	MCHC	RDWc	RDWs	PLT	MPV	PCT	PDWc	PDWs	PrVW	PrVR	PrVE	WBC Lyse	Lyse2	% NK cells	Number NK cells	TGFbeta	IL-1B	G-CSF	IL-10	IL-6	IL-12	RANTES	Eotaxin	IL-17	MIP-1a	GM-CSF	MIP-1B	MCP-1	IL-15	EGF	IL-5	HGF	VEGF	IFN-g	MDC	I-TAC	MIF	IL-RA	TNF-alpha	IL-2	IP-10	MIG	IL-4	IL-8
6401	Steve	M	15 Mosquitos	15 Mosquitos	8	2021-04-13											0	N	10	11	9	1	2			11	22	22	2.30103	0	1.45822697427496	0.759256969938944	693																										8.3	339	1.45	12.26	12.51	6.78	3.85	55.3	4.34	1.19	15.66	14.2	9.35	93.69	10.06	38.02	1.65	3.48	35.33	0.48	7.72	196.43	39.66	703.38	27.75	6.55	21.89	2.18	11.8	19.49	5.83
6363	Matt	M	15 Mosquitos	15 Mosquitos	8	2021-04-13											0	N	10	9	8	0	0			0	0	0	0	0	0	0	861																										16.6	904	1.45	5.76	56.75	6.78	3.85	55.3	4.34	1.19	15.66	14.2	3.48	44.18	10.06	38.02	1.65	2.94	35.33	0.48	7.72	132.18	93.66	752.1	27.75	5.7	21.89	2.18	11.8	19.49	5.83
6552	Usher	M	15 Mosquitos	15 Mosquitos	8	2021-04-13											0	N	0	12	10	0	0			0	0	0	0	0	0	0	825																										4.2	312	1.45	4.92	56.75	6.78	3.85	55.3	4.34	1.19	15.66	14.2	4.92	193.92	10.06	38.02	1.65	3.3	35.33	0.48	7.72	147.6	46.62	871.44	6.68	6.06	21.89	2.18	11.8	19.49	5.83
6242	Kiki	F	15 Mosquitos	15 Mosquitos	8	2021-04-13											0	N	10	9	7	0	4			0	57	57	0	0	1.1901056208558	0.208823959425021	664																										1	100	1.45	431.04	96.98	11.52	3.73	55.3	4.34	1.19	15.66	31.66	8.5	564.92	10.06	162.3	1.65	5.98	35.33	0.48	4.18	147.6	35.01	884.96	27.75	7.23	21.89	3.92	11.8	5.96	6.35
5910	Alouette	F	15 Mosquitos	15 Mosquitos	8	2021-04-13											0	N	0	7	6	0	0			0	0	0	0	0	0	0	716																										4.7	321	1.45	7.44	85.06	5.26	3.82	55.3	4.34	1.19	15.66	14.2	8.5	318.69	10.06	38.02	1.65	5.54	35.33	0.48	7.07	147.6	9.56	1500.43	27.75	7.23	21.89	2.05	11.8	19.49	5.83
6541	Vogle	M	Control	Control	8	2021-04-13													0																																																																						
6321	Rafael	M	Control	Control	8	2021-04-13											0	N	0	8	8												815																										5	435	1.45	1.74	31.07	5.55	3.85	55.3	25.28	1.19	15.66	27.68	15.94	797.2	10.06	38.02	1.65	3.4	35.33	0.48	7.72	398.11	48.71	796.24	27.28	7.02	21.89	2.18	11.8	19.49	5.83
6314	Casey Jones	M	15 Mosquitos	15 Mosquitos	11	2021-04-16													0																																																																						
6519	Bethany	M	15 Mosquitos	15 Mosquitos	11	2021-04-16													0																																																																						
4516	Bunny	F	15 Mosquitos	15 Mosquitos	11	2021-04-16													62.86																																																																						
5045	Neferet	F	15 Mosquitos	15 Mosquitos	11	2021-04-16													0																																																																						
4872	Molly	F	15 Mosquitos	15 Mosquitos	11	2021-04-16													10																																																																						
6401	Steve	M	15 Mosquitos	15 Mosquitos	11	2021-04-16											0	N	0	6	6	0	0			0	0	0	0	0	0	0	697																																																								
6363	Matt	M	15 Mosquitos	15 Mosquitos	11	2021-04-16											0	N	10	0													850																																																								
6552	Usher	M	15 Mosquitos	15 Mosquitos	11	2021-04-16											0	N	0	9	9	0	0			0	0	0	0	0	0	0	802																																																								
6242	Kiki	F	15 Mosquitos	15 Mosquitos	11	2021-04-16											0	N	0	12	11	0	0			0	0	0	0	0	0	0	650																																																								
5910	Alouette	F	15 Mosquitos	15 Mosquitos	11	2021-04-16											0	N	0	4	4	0	0			0	0	0	0	0	0	0	723																																																								
6541	Vogle	M	Control	Control	11	2021-04-16													0	4	4												783																																																								
6321	Rafael	M	Control	Control	11	2021-04-16											0	N	0	10	9												823																																																								
6314	Casey Jones	M	15 Mosquitos	15 Mosquitos	14	2021-04-19											0	N	0	7	7	0	0			0	0	0	0	0	0	0	723																																																								
6519	Bethany	M	15 Mosquitos	15 Mosquitos	14	2021-04-19											0	N	0	7	7	0	0			0	0	0	0	0	0	0	831																																																								
4516	Bunny	F	15 Mosquitos	15 Mosquitos	14	2021-04-19											80	Y	80	0													576																																																								
5045	Neferet	F	15 Mosquitos	15 Mosquitos	14	2021-04-19											0	N	0	3	2	0	0			0	0	0	0	0	0	0	666																																																								
4872	Molly	F	15 Mosquitos	15 Mosquitos	14	2021-04-19											20	Y	20	6	6	0	0			0	0	0	0	0	0	0	621																																																								
6401	Steve	M	15 Mosquitos	15 Mosquitos	14	2021-04-19											0	N	0	8	8	0	0			0	0	0	0	0	0	0	702																																																								
6363	Matt	M	15 Mosquitos	15 Mosquitos	14	2021-04-19											800	Y	800	3	3	0	0			0	0	0	0	0	0	0	833																																																								
6552	Usher	M	15 Mosquitos	15 Mosquitos	14	2021-04-19											0	N	0	6	6	0	0			0	0	0	0	0	0	0	775																																																								
6242	Kiki	F	15 Mosquitos	15 Mosquitos	14	2021-04-19											0	N	0	6	6	0	0			0	0	0	0	0	0	0	653																																																								
5910	Alouette	F	15 Mosquitos	15 Mosquitos	14	2021-04-19											0	N	0	6	6	0	0			0	0	0	0	0	0	0	716																																																								
6541	Vogle	M	Control	Control	14	2021-04-19											0	N	0	7	4												791																																																								
6321	Rafael	M	Control	Control	14	2021-04-19											0	N	0	4	3												803																																																								
6314	Casey Jones	M	15 Mosquitos	15 Mosquitos	21	2021-04-26											0	N	0	13	13	0	0			0	0	0	0	0	0	0	757																																																								
6519	Bethany	M	15 Mosquitos	15 Mosquitos	21	2021-04-26											0	N	0	7	5	0	0			0	0	0	0	0	0	0	871																																																								
4516	Bunny	F	15 Mosquitos	15 Mosquitos	21	2021-04-26											0	N	0	10	9	0	0			0	0	0	0	0	0	0	568																																																								
5045	Neferet	F	15 Mosquitos	15 Mosquitos	21	2021-04-26											0	N	0	7	7	0	0			0	0	0	0	0	0	0	681																																																								
4872	Molly	F	15 Mosquitos	15 Mosquitos	21	2021-04-26											0	N	0	7	6	0	0			0	0	0	0	0	0	0	620																																																								
6401	Steve	M	15 Mosquitos	15 Mosquitos	21	2021-04-26											0	N	0	10	9	0	0			0	0	0	0	0	0	0	728																																																								
6363	Matt	M	15 Mosquitos	15 Mosquitos	21	2021-04-26											0	N	0	9	9	0	0			0	0	0	0	0	0	0	824																																																								
6552	Usher	M	15 Mosquitos	15 Mosquitos	21	2021-04-26											0	N	0	7	6	0	0			0	0	0	0	0	0	0	769																																																								
6242	Kiki	F	15 Mosquitos	15 Mosquitos	21	2021-04-26											0	N	0	12	10	0	0			0	0	0	0	0	0	0	701																																																								
5910	Alouette	F	15 Mosquitos	15 Mosquitos	21	2021-04-26											0	N	0	7	7	0	0			0	0	0	0	0	0	0	732																																																								
6541	Vogle	M	Control	Control	21	2021-04-26											0	N	0	10	10												816																																																								
6321	Rafael	M	Control	Control	21	2021-04-26											0	N	0	7	7												801																																																								
6314	Casey Jones	M	15 Mosquitos	15 Mosquitos	28	2021-05-03								640	640	320	0	N	0	7	5	0	0			0	0	0	0	0	0	0	694																																																								
6519	Bethany	M	15 Mosquitos	15 Mosquitos	28	2021-05-03								80	40	20	0	N	0	9	9	0	0			0	0	0	0	0	0	0	830																																																								
4516	Bunny	F	15 Mosquitos	15 Mosquitos	28	2021-05-03								640	640	640	0	N	0	11	10	0	0			0	0	0	0	0	0	0	526																																																								
5045	Neferet	F	15 Mosquitos	15 Mosquitos	28	2021-05-03								160	80	40	0	N	0	12	12	0	0			0	0	0	0	0	0	0	648																																																								
4872	Molly	F	15 Mosquitos	15 Mosquitos	28	2021-05-03								320	160	80	0	N	0	12	10	0	0			0	0	0	0	0	0	0	579																																																								
6401	Steve	M	15 Mosquitos	15 Mosquitos	28	2021-05-03								80	40	40	0	N	0	8	8	0	0			0	0	0	0	0	0	0	705																												1.45	2.94	56.75	6.78	3.85	55.3	4.34	1.19	15.66	14.2	5.88	18.3	10.06	38.02	1.65	3.36	35.33	0.48	7.72	147.6	47.34	166.68	27.75	5.4	21.89	2.18	11.8	19.49	5.83
6363	Matt	M	15 Mosquitos	15 Mosquitos	28	2021-05-03								160	80	80	0	N	0	2	2	0	0			0	0	0	0	0	0	0	795																												1.45	1.56	19.14	6.78	3.85	55.3	4.34	1.19	15.66	14.2	4.92	6.96	10.06	38.02	1.65	3.18	35.33	0.48	7.72	504.18	38.94	93.6	27.75	5.82	21.89	2.18	11.8	19.49	5.83
6552	Usher	M	15 Mosquitos	15 Mosquitos	28	2021-05-03								160	80	80	0	N	0	5	5	0	0			0	0	0	0	0	0	0	704																												1.45	2.64	56.75	6.78	3.85	55.3	4.34	1.19	15.66	14.2	6.48	27.96	10.06	38.02	1.65	3.3	35.33	0.48	7.72	147.6	39.66	146.28	12.43	5.94	21.89	2.18	11.8	19.49	5.83
6242	Kiki	F	15 Mosquitos	15 Mosquitos	28	2021-05-03								640	160	80	0	N	0	13	11	0	0			0	0	0	0	0	0	0	632																												1.45	11.99	103.28	10.11	4.37	55.3	4.34	1.19	15.66	14.2	8.5	0.61	10.06	38.02	1.65	5.87	35.33	0.48	7.72	147.6	16.02	391.5	27.75	7.23	21.89	1.33	11.8	3.7	1.16
5910	Alouette	F	15 Mosquitos	15 Mosquitos	28	2021-05-03								640	160	80	0	N	0	9	7	0	0			0	0	0	0	0	0	0	708																												1.45	5.07	96.28	5.92	4.14	55.3	27.49	1.19	15.66	14.2	8.5	22.61	10.06	38.02	1.65	12.27	35.33	0.48	1.74	147.6	16.02	472.9	27.75	7.23	21.89	1.58	11.8	19.49	1.54
6541	Vogle	M	Control	Control	28	2021-05-03								19	19	19	0	N	0	4	4												777																																																								
6321	Rafael	M	Control	Control	28	2021-05-03								19	19	19	0	N	0	5	4												766																												1.45	2.04	21.24	6.78	3.85	55.3	59.33	1.19	15.66	11.43	13.19	46.72	10.06	38.02	14.35	3.99	35.33	0.48	7.72	196.43	56.31	263.13	27.75	6.84	21.89	2.18	11.8	19.49	5.83
